ID,Decision,Notes
10900,Community,
10902,Community,
10930,Community,
10934,Community,
10935,Community,
10996,Community,
11002,Community,
11004,Home,
11012,Community,
11038,Community,
11100,Community,
11112,Community,
11121,Community,
11122,Community,
11133,Community,
11135,Community,
11186,Community,
11190,Home,
11214,Community,
10679,Home,
10680,Community,
10681,Community,
10682,Home,
10683,Home,
10684,Home,
10685,Home,
10686,Home,
10687,Home,
10688,Community,
10689,Home,
10690,Home,
10691,Home,
10692,Home,
10693,Home,
10694,Community,
10697,Community,
10698,Community,
10700,Community,
10701,Community,
10704,Community,
10705,Community,
10706,Home,
10708,Community,
10709,Community,
10710,Community,
10712,Community,
10713,Community,
10714,Home,
10715,Home,
10716,Home,
10717,Home,
10718,Community,
10719,Community,
10720,Community,
10721,Home,
10724,Community,
10725,Community,
10726,Home,
10727,Home,
10728,Community,
10729,Community,
10730,Home,
10731,Home,
10732,Home,
10733,Home,
10734,Home,
10735,Home,
10736,Home,
10737,Home,
10738,Home,
10740,Home,
10741,Home,
10742,Home,
10743,Home,
10744,Community,
10745,Home,
10746,Home,
10747,Home,
10748,Home,
10749,Home,
10750,Home,
10751,Community,
10752,Home,
10753,Home,
10754,Home,
10755,Home,
10756,Home,
10757,Home,
10758,Home,
10759,Home,
10760,Home,
10761,Home,
10762,Community,
10763,Home,
10764,Community,
10765,Home,
10766,Home,
10767,Community,
10768,Community,
10769,Home,
10770,Community,
10773,Community,
10775,Community,
10777,Community,
10778,Home,
10779,Home,
10780,Community,
10781,Home,
10782,Home,
10783,Home,
10784,Home,
10785,Home,
10786,Home,
10787,Home,
10788,Home,
10789,Community,
10790,Home,
10791,Home,
10792,Home,
10793,Home,
10794,Home,
10795,Home,
10796,Home,
10797,Home,
10798,Home,
10799,Home,
10800,Home,
10801,Home,
10802,Home,
10803,Home,
10804,Home,
10805,Home,
10806,Home,
10807,Home,
10808,Home,
10809,Home,
10810,Home,
10811,Home,
10812,Home,
10813,Home,
10814,Home,
10815,Community,
10816,Home,
10817,Home,
10818,Home,
10819,Home,
10820,Home,
10821,Home,
10823,Home,
10824,Home,
10825,Home,
10826,Home,
10827,Home,
10828,Home,
10829,Home,
10830,Home,
10832,Home,
10833,Home,
10834,Home,
10835,Home,
10836,Community,
10837,Home,
10838,Home,
10839,Home,
10840,Home,
10841,Community,
10842,Home,
10843,Home,
10844,Home,
10845,Home,
10846,Community,
10847,Home,
10848,Community,
10849,Home,
10850,Home,
10851,Home,
10852,Home,
10853,Home,
10854,Home,
10855,Community,
10857,Community,
10858,Community,
10859,Community,
10860,Community,
10861,Community,
10862,Home,
10863,Community,
10864,Home,
10865,Community,
10866,Home,
10867,Home,
10868,Home,
10869,Community,
10870,Home,
10871,Home,
10872,Home,
10873,Community,
10874,Home,
10875,Home,
10879,Community,
10880,Community,
10881,Community,
10882,Community,
10884,Home,
10885,Community,
10886,Home,
10887,Community,
10888,Home,
10889,Community,
10890,Home,
10892,Home,
10893,Community,
10894,Community,
10895,Home,
10896,Home,
10898,Home,
10901,Community,
10903,Home,
10904,Community,
10905,Home,
10906,Home,
10907,Community,
10908,Community,
11018,Community,
11019,Home,
11020,Community,
11021,Home,
11022,Home,
11023,Home,
11024,Home,
11025,Community,
11026,Home,
11027,Home,
11028,Home,
11029,Home,
11030,Home,
11031,Home,
11032,Home,
11033,Home,
10909,Home,
10910,Community,
10911,Home,
10912,Home,
10913,Home,
10914,Home,
10915,Home,
10916,Community,
10917,Community,
10918,Community,
10919,Community,
10920,Home,
10921,Home,
10922,Home,
10923,Home,
10924,Community,
10925,Community,
10926,Community,
10927,Community,
10928,Community,
10929,Community,
10931,Community,
10932,Community,
10933,Community,
10936,Community,
10937,Community,
10938,Home,
10939,Community,
10940,Home,
10942,Home,
10943,Community,
10944,Community,
10945,Home,
10946,Community,
10947,Home,
10948,Home,
10949,Community,
10950,Community,
10951,Home,
10952,Home,
10953,Home,
10954,Home,
10955,Home,
10956,Home,
10957,Home,
10958,Home,
10959,Home,
10960,Home,
10961,Home,
10962,Home,
10963,Home,
10964,Home,
10965,Home,
10966,Home,
10967,Home,
10968,Home,
10969,Community,
10970,Home,
10971,Home,
10972,Community,
10973,Home,
10974,Home,
10975,Home,
10976,Home,
10977,Community,
10978,Home,
10979,Home,
10980,Home,
10981,Home,
10982,Home,
10983,Home,
10984,Home,
10985,Home,
10986,Home,
10987,Home,
10988,Community,
10989,Home,
10990,Home,
10991,Home,
10992,Home,
10994,Community,
10995,Community,
10997,Community,
10998,Home,
10999,Home,
11000,Home,
11001,Community,
11003,Community,
11005,Community,
11006,Community,
11007,Home,
11008,Community,
11009,Community,
11010,Community,
11013,Community,
11014,Home,
11015,Home,
11016,Home,
11017,Home,
11034,Home,
11035,Home,
11036,Home,
11037,Home,
11039,Home,
11040,Home,
11041,Home,
11042,Home,
11050,Home,
11051,Home,
11052,Home,
11053,Home,
11054,Home,
11055,Home,
11056,Community,
11057,Home,
11058,Home,
11059,Home,
11060,Home,
11061,Home,
11062,Home,
11063,Home,
11064,Home,
11065,Community,
11066,Home,
11067,Home,
11068,Home,
11069,Community,
11070,Home,
11071,Home,
11072,Home,
11073,Home,
11074,Home,
11075,Community,
11076,Home,
11077,Home,
11078,Home,
11079,Home,
11080,Home,
11081,Home,
11082,Home,
11083,Home,
11084,Home,
11085,Home,
11086,Home,
11087,Home,
11088,Home,
11089,Home,
11090,Home,
11091,Home,
11092,Home,
11093,Home,
11094,Home,
11095,Home,
11096,Home,
11097,Community,
11098,Home,
11099,Home,
11101,Community,
11102,Community,
11103,Community,
11104,Community,
11105,Community,
11106,Community,
11107,Community,
11108,Home,
11109,Home,
11110,Community,
11111,Community,
11113,Community,
11114,Home,
11115,Home,
11116,Home,
11117,Home,
11118,Home,
11119,Home,
11120,Community,
11123,Community,
11124,Community,
11125,Community,
11126,Home,
11127,Home,
11128,Community,
11129,Community,
11130,Community,
11131,Community,
11132,Community,
11134,Community,
11136,Community,
11137,Community,
11138,Home,
11139,Home,
11140,Home,
11141,Home,
11142,Home,
11179,Community,
11180,Community,
11181,Community,
11182,Home,
11183,Home,
11184,Home,
11185,Home,
11187,Home,
11188,Home,
11189,Home,
11191,Home,
11192,Home,
11193,Home,
11194,Home,
11195,Community,
11196,Home,
11197,Home,
11198,Community,
11199,Home,
11200,Home,
11201,Community,
11202,Home,
11203,Home,
11204,Home,
11205,Home,
11206,Home,
11207,Home,
11208,Home,
11209,Community,
11210,Home,
11211,Home,
11212,Community,
11213,Home,
11215,Community,
11216,Home,
11217,Home,
11218,Community,
